track_name,artist_name,genre,popularity,danceability,energy,loudness,tempo,valence,acousticness,duration_ms
WW2.0 (feat. Upchurch),Adam Calhoun,Country,47,0.829,0.555,-8.873,105.009,0.419,0.25,220364
Signals - Remastered 2005,Brian Eno,World,66,0.0672,0.0119,-41.808,70.521,0.0701,0.969,166560
Extreme Ways (Bourne's Legacy),Moby,Electronic,37,0.466,0.828,-7.898,104.495,0.299,0.000417,290827
1937 State Park,Car Seat Headrest,Folk,47,0.552,0.641,-5.733,110.973,0.548,0.0036,240107
Cachai o No Cachai,Shelo A Lo Loko,Reggaeton,36,0.733,0.72,-6.553,166.028,0.892,0.074,256972
Blackbeak,Youngblood Hawke,Indie,46,0.566,0.763,-6.146,134.973,0.577,0.00119,239160
Vortex,Carbon Based Lifeforms,Electronic,34,0.401,0.47,-13.234,71.674,0.227,0.564,373305
I Juswanna Chill,Large Professor,Jazz,51,0.754,0.801,-5.992,90.843,0.391,0.184,208867
Ray of Light,Madonna,Rock,58,0.561,0.909,-7.878,127.172,0.71,0.00118,320693
The Trooper - 2015 Remaster,Iron Maiden,Rock,62,0.285,0.908,-4.601,159.756,0.669,0.0318,252733
If You're Over Me,Years & Years,Pop,77,0.647,0.853,-4.516,103.846,0.618,0.0615,189000
These Girls,Sticky Fingers,Indie,66,0.358,0.585,-8.762,185.392,0.407,0.327,205787
Hump de Bump,Red Hot Chili Peppers,Rock,59,0.692,0.968,-3.252,111.906,0.901,0.135,213320
Dead Saturday,Teenage Bottlerocket,Ska,31,0.566,0.939,-3.557,103.856,0.669,6.91e-05,155520
逢いたい~ボゴシップダ~ (天国の階段)harp version,Kyoto Harp Ensemble,Anime,18,0.61,0.0855,-19.664,126.008,0.125,0.988,255238
Baby You're Bad,HONNE,Soul,35,0.733,0.861,-5.445,120.015,0.633,0.00582,228879
Goosebumps,Meghan Trainor,R&B,56,0.647,0.834,-3.258,98.074,0.677,0.0759,221320
"Tristan und Isolde, WWV 90: Einleitung",Richard Wagner,Opera,15,0.137,0.124,-28.823,142.233,0.0347,0.916,573573
Further Up on the Road,"David ""Honeyboy"" Edwards",Blues,32,0.73,0.195,-15.073,111.874,0.699,0.858,260040
Baseball and Football,George Carlin,Comedy,15,0.527,0.642,-17.087,144.825,0.347,0.562,173600
"Unaccompanied Cello Suite No. 4 in E-Flat Major, BWV 1010: VI. Gigue",Johann Sebastian Bach,Classical,36,0.367,0.108,-24.394,123.937,0.69,0.982,177853
Kamikazee,MISSIO,Alternative,46,0.45,0.859,-4.754,82.504,0.216,0.00146,221387
Drinkin' Wine Spodie-Odie,Champion Jack Dupree,Blues,28,0.532,0.429,-12.826,90.068,0.752,0.772,212427
Let Me In,Yo Trane,R&B,46,0.636,0.335,-12.014,108.993,0.252,0.705,182752
Shoot Out,Monsta X,Pop,69,0.613,0.868,-2.792,165.133,0.394,0.0599,207173
Véngase Ii,Rawayana,Reggae,47,0.659,0.636,-8.076,195.035,0.854,0.0864,200264
北極星〜Polestar〜,May J.,Anime,35,0.503,0.703,-3.863,76.907,0.378,0.187,311467
グッドラック,BUMP OF CHICKEN,Anime,38,0.508,0.68,-4.03,91.099,0.247,0.00606,424693
The House That Built Me,Miranda Lambert,Country,64,0.515,0.3,-8.005,81.12,0.206,0.575,236627
Kick Me,The Vandals,Ska,19,0.251,0.98,-7.634,180.914,0.561,0.000322,127893
Stronger (What Doesn't Kill You),Kelly Clarkson,Pop,67,0.562,0.939,-4.282,116.044,0.684,0.046,221947
The Weekend (feat. Young Thug & Swizz Beatz),T.I.,Hip-Hop,58,0.547,0.659,-7.04,165.763,0.759,0.287,287867
Road Trippin',Red Hot Chili Peppers,Rock,65,0.378,0.474,-8.202,102.379,0.38,0.28,204960
We're Only Gonna Die For Our Arrogance,Sublime,Ska,47,0.28,0.947,-4.373,97.232,0.411,1.2e-05,187080
People,AJJ,Folk,39,0.609,0.458,-9.543,138.526,0.805,0.451,137680
Hey,RKM,Reggaeton,0,0.754,0.846,-9.143,127.981,0.679,0.000413,218945
Beck's Theme - Lightbike Battle,Joseph Trapanese,Soundtrack,24,0.313,0.586,-11.556,108.0,0.0839,0.398,237920
Skip To My Lou,Old Town School of Folk Music,Children's Music,20,0.812,0.322,-8.048,97.563,0.871,0.854,78973
Stop The Rock,Apollo 440,Electronic,47,0.6,0.987,-3.423,150.006,0.615,0.267,212707
"Bess You Is My Woman (From ""Porgy and Bess""",Ellis Marsalis,Jazz,41,0.474,0.0488,-18.712,117.764,0.0701,0.974,485533
あたしを彼女にしたいなら,Koresawa,Anime,45,0.636,0.736,-5.628,131.906,0.736,0.00515,244240
The Boy Is Mine (with Monica) - Radio Edit With Intro,Brandy,Soul,45,0.616,0.72,-7.894,93.12,0.768,0.324,294426
Rusty Cage,Soundgarden,Children’s Music,63,0.305,0.917,-7.581,101.956,0.295,2.06e-05,266200
Tropics,Ugly God,Hip-Hop,50,0.821,0.421,-9.836,82.486,0.843,0.356,119072
Love So Soft,Kelly Clarkson,R&B,67,0.808,0.581,-5.43,130.012,0.758,0.0053,172427
Red Giant,Alice In Chains,Children’s Music,49,0.47,0.845,-5.642,160.018,0.371,2.77e-05,325787
No Peace,Sam Smith,Pop,63,0.656,0.539,-8.073,135.974,0.135,0.354,283295
The Way It Was,We Are The Union,Ska,19,0.56,0.877,-6.217,99.938,0.837,0.00213,102289
MY PYT,Wale,Hip-Hop,60,0.563,0.414,-11.409,193.549,0.446,0.0298,235652
Hands Held High,Linkin Park,Alternative,52,0.565,0.603,-8.597,104.0,0.132,0.324,233133
科学の夜,Do As Infinity,Anime,21,0.491,0.212,-13.457,79.978,0.164,0.758,252093
どこかで日は昇る - Album Mix,Mrs. GREEN APPLE,Anime,39,0.604,0.646,-4.165,109.991,0.452,0.0259,299480
Smoke Gets In Your Eyes,Thelonious Monk,Jazz,32,0.503,0.159,-15.5,79.095,0.513,0.991,203333
Run Man Run - Titoli finale - Remastered,Ennio Morricone,Soundtrack,29,0.284,0.325,-8.896,109.139,0.125,0.914,201107
The Pressure Is On (Live),Travis Tritt,Country,36,0.462,0.575,-4.743,96.105,0.241,0.716,226253
No Fun,Novo Amor,Folk,52,0.592,0.151,-14.161,127.344,0.291,0.912,211500
N9NA,Tech N9ne,Hip-Hop,49,0.773,0.722,-5.898,82.986,0.49,0.0677,213954
La Traviata - Libiamo ne`lieti calici - Live,Giuseppe Verdi,Opera,37,0.389,0.538,-9.104,107.868,0.335,0.936,201960
Hey Sa-Lo-Ney,The Detroit Cobras,Blues,29,0.389,0.98,-4.31,152.273,0.704,0.000127,147293
Dedicatoria,Alberto Iglesias,Soundtrack,31,0.436,0.0716,-17.131,100.991,0.0369,0.942,90000
The Resistance,Skillet,Children’s Music,68,0.483,0.941,-3.598,156.033,0.503,0.000526,232067
Green Onions,The Blues Brothers,Blues,36,0.477,0.834,-8.253,154.705,0.765,0.15,347400
Funtimes in Babylon,Father John Misty,Indie,56,0.536,0.489,-7.669,104.598,0.364,0.74,219893
Sometimes ◐ - Livingston Session,HONNE,R&B,60,0.553,0.445,-11.53,144.986,0.0529,0.47,312383
Somewhere Tonight,Beach House,Indie,43,0.135,0.312,-11.607,173.782,0.0827,0.452,253960
Let Go,BANNERS,Folk,53,0.474,0.701,-4.159,142.123,0.173,0.00601,195500
"Diabelli Variations, Op. 120: Var. 6, Allegro ma non troppo e serioso",Ludwig van Beethoven,Classical,22,0.284,0.247,-22.916,98.436,0.315,0.983,120187
Brain Matter,St. Paul & The Broken Bones,Soul,39,0.722,0.751,-6.613,112.963,0.52,0.0482,237480
Se Mi Olvidó Otra Vez,Plácido Domingo,Opera,33,0.375,0.381,-8.219,76.646,0.376,0.902,214160
OJ Pt 12,Paul Mooney,Comedy,15,0.599,0.554,-14.487,77.958,0.583,0.709,72200
Need Sum Mo (feat. Lil Baby),Derez De’Shon,R&B,50,0.503,0.716,-3.625,145.996,0.229,0.0613,189844
Fever,The Cramps,Blues,34,0.674,0.332,-11.386,111.614,0.444,0.699,259040
Chorus:I Couldn't Hear Nobody Pray,Charlton Heston,Movie,0,0.209,0.243,-23.076,115.404,0.13,0.995,58488
"Un ballo in maschera*: Act I: Volta la terrea fronte (Oscar, Riccardo, A Judge, Renato, Samuel, Tom, Chorus)",Giuseppe Verdi,Opera,5,0.44,0.132,-21.516,138.756,0.317,0.927,167286
Why Did You Hoodoo Me,Savoy Brown,Blues,26,0.501,0.861,-3.463,111.547,0.566,0.0477,312847
Strike of the Ninja,DragonForce,Classical,29,0.481,0.98,-3.516,140.036,0.496,0.000314,198160
Man Boobs,Brian Posehn,Comedy,20,0.466,0.719,-11.773,82.761,0.38,0.948,230977
Chitty Chitty Bang Bang: Come to the Funfair,Richard M. Sherman,Movie,20,0.32,0.144,-17.788,125.596,0.0642,0.895,146640
Si Fuera Fácil,Feid,Reggaeton,19,0.869,0.783,-6.098,92.012,0.755,0.336,186987
Paris Night,George Bruns,Movie,12,0.244,0.0239,-27.871,133.991,0.0503,0.963,175720
From Now On,Zac Brown Band,Rock,63,0.541,0.811,-3.872,110.013,0.263,0.114,260960
Yours,Alina Baraz,R&B,57,0.476,0.363,-10.331,114.069,0.185,0.843,207403
Waitin (En Vivo),Los Pericos,Reggae,60,0.608,0.845,-7.447,99.05,0.387,0.132,269013
Deep Field: The Pillars of Creation,Eric Whitacre,Classical,28,0.15,0.0707,-21.752,105.874,0.0232,0.924,247720
Danny Boy,Eva Cassidy,Jazz,40,0.459,0.109,-12.55,76.5,0.247,0.898,221133
Nah Mean,"Nas & Damian ""Jr. Gong"" Marley",Reggae,38,0.591,0.917,-1.642,94.129,0.618,0.0262,247053
Forever in the Friendzone,Suburban Legends,Ska,34,0.653,0.939,-4.939,96.992,0.703,0.0343,215737
Heaven In Hiding,Halsey,Pop,64,0.55,0.874,-3.954,117.926,0.476,0.0957,207174
"Koyoi, Tuki Ga Miezutomo",Porno Graffitti,Anime,24,0.513,0.935,-4.13,132.947,0.696,0.00107,258800
Noción,Killatonez,Reggaeton,32,0.75,0.648,-4.809,83.998,0.765,0.129,249053
"La traviata / Act 2: ""Lunge da lei"" - ""De' miei bollenti spiriti""",Giuseppe Verdi,Opera,6,0.3,0.0846,-23.94,94.784,0.263,0.951,218973
Kielbasa,Tenacious D,Children’s Music,45,0.506,0.666,-6.769,100.846,0.595,0.126,179800
Must Be Doin' Somethin' Right,Billy Currington,Rock,60,0.483,0.625,-3.848,167.975,0.366,0.203,269667
"Love in This Club, Pt. II",Usher,Rap,60,0.623,0.487,-7.954,138.893,0.507,0.0322,309040
Something More,Scotty McCreery,Country,35,0.604,0.684,-6.107,151.996,0.498,0.0459,208587
Life Eternal,Clint Mansell,Soundtrack,30,0.228,0.0538,-28.791,74.715,0.0505,0.949,138447
Come and Be Alone With Me,The Jungle Giants,Indie,58,0.668,0.716,-5.4,94.016,0.669,0.0705,186013
Move Bitch,Disturbing Tha Peace,Rap,58,0.782,0.76,-5.705,177.82,0.161,0.252,270867
The Finger Family (Pop Version),Toddler Tunes,Children's Music,39,0.73,0.667,-6.811,119.95,0.79,0.347,88000
Born Under A Bad Sign,Albert King,Soul,51,0.699,0.633,-6.249,91.398,0.907,0.436,167040
It's Not You,Halestorm,Alternative,44,0.577,0.862,-3.239,123.007,0.606,0.00054,174920
Moon River,fhána,Anime,12,0.568,0.736,-6.322,102.996,0.389,0.00109,270000
"Hippolyte et Aricie, RCT 43: Hippolyte et Aricie, RCT 43: II. Air en rondeau pour les amours. Gracieusement",Jean-Philippe Rameau,Opera,20,0.289,0.0158,-28.016,108.395,0.206,0.922,124120
Sell Out,Ray Volpe,Electronic,36,0.601,0.972,-1.36,149.998,0.0704,0.00265,208000
You Are My Beautiful Song,Masakatsu Takagi,Soundtrack,23,0.212,0.0176,-26.644,71.691,0.035,0.983,104053
Try Me - feat. Jennifer Lopez & Matoma,Jason Derulo,Hip-Hop,62,0.579,0.68,-5.634,100.033,0.211,0.0157,200240
Empty Hands,John Brown's Body,Reggae,19,0.518,0.933,-4.48,145.067,0.683,0.0168,308587
Hearts Safe (A Better Way),Tenth Avenue North,World,27,0.734,0.403,-11.429,100.046,0.24,0.176,210813
"Tannhäuser, WWV 70: Overture",Richard Wagner,Opera,34,0.0871,0.187,-16.368,75.507,0.0552,0.911,901000
Everytime,Social Club Misfits,Hip-Hop,60,0.548,0.732,-6.284,154.164,0.566,0.121,188040
Burn,Rancid,Ska,30,0.466,0.982,-8.555,142.098,0.813,0.0117,130533
I Want You,After 7,Soul,49,0.626,0.794,-5.305,90.407,0.594,0.0366,210206
1957,Milo Greene,Pop,62,0.388,0.595,-9.799,190.043,0.596,0.663,204213
Medicine,Tab Benoit,Blues,30,0.536,0.66,-6.387,138.844,0.66,0.124,347467
La Dosis Perfecta - En Vivo,Panteon Rococo,Ska,56,0.382,0.834,-8.82,166.409,0.574,0.0472,367893
Back Then,Phora,Hip-Hop,46,0.475,0.484,-8.442,93.322,0.392,0.464,206156
The Space Program,A Tribe Called Quest,Rap,53,0.612,0.705,-5.898,101.876,0.533,0.427,341040
African Herbsman - King Kooba Remix,Bob Marley & The Wailers,Reggae,34,0.904,0.729,-7.444,107.996,0.684,0.14,243680
"Left Brain, Right Brain",Bo Burnham,Comedy,52,0.462,0.704,-6.011,169.396,0.547,0.639,394392
Danger Can't,Mom Jeans.,Children’s Music,49,0.655,0.466,-8.758,150.968,0.638,0.00952,214679
Them Belly Full - Live At Ahoy Hallen/1978,Bob Marley & The Wailers,Reggae,33,0.542,0.668,-11.207,148.239,0.692,0.25,226093
"I Waited on You, You Never Came",yung van,Rap,54,0.493,0.547,-7.189,129.911,0.054,0.0406,197564
Count Basie - Remastered,Henri Salvador,Movie,6,0.294,0.196,-8.735,136.59,0.416,0.174,171573
Like Rock & Roll and Radio,Ray LaMontagne,Folk,42,0.465,0.159,-11.925,143.48,0.269,0.681,363973
Financially Retarded,Darryl Lenox,Comedy,12,0.535,0.767,-8.96,118.404,0.656,0.925,44665
Memories Faded,TWENTY88,Pop,61,0.526,0.543,-8.374,140.124,0.4,0.15,252213
Sky So Blue,Hot Flash Heat Wave,Indie,44,0.514,0.791,-6.87,133.991,0.537,0.45,258560
Intro - Predica,Don Omar,Reggaeton,32,0.774,0.794,-2.906,98.012,0.418,0.103,200440
Not The Only One,Kevin Gates,Pop,61,0.704,0.675,-7.052,132.039,0.464,0.115,281120
Old Man Face,Bill Burr,Comedy,44,0.577,0.799,-10.756,129.042,0.445,0.937,401320
Wassup - Buku Remix,Alexander Lewis,Electronic,46,0.537,0.91,-4.406,74.976,0.209,0.0131,233600
Who Is It,Fabien Nataf,Movie,3,0.64,0.0577,-23.413,135.932,0.443,0.936,51108
Déjala,Son Tentacion,Reggaeton,53,0.702,0.655,-10.808,95.987,0.883,0.28,322427
Poops and Popes,Myq Kaplan,Comedy,18,0.486,0.857,-4.794,167.979,0.686,0.905,164187
Don't Drink the Water,Brad Paisley,Country,38,0.556,0.818,-3.703,120.696,0.779,0.0402,226080
The Dream,Sumi Jo,Opera,28,0.299,0.0324,-26.057,136.439,0.0742,0.992,156914
PROM / KING,Saba,Rap,55,0.516,0.859,-7.263,77.307,0.78,0.229,451616
Hello,The Cat Empire,Ska,54,0.716,0.748,-6.426,110.015,0.76,0.333,224133
"Blood Of The Jabberwocky - From ""Alice in Wonderland""/Score",Danny Elfman,Soundtrack,25,0.167,0.104,-23.174,111.712,0.0341,0.868,157320
Nothin to Somethin,Syd,R&B,44,0.895,0.575,-6.068,120.016,0.899,0.246,209240
Hey Baby,Stephen Marley,Reggae,59,0.629,0.604,-5.639,184.909,0.627,0.114,294787
Hearts Burst into Fire,Bullet For My Valentine,Alternative,44,0.24,0.968,-3.669,89.686,0.119,0.000996,297947
Moonlight,KAWALA,Folk,56,0.633,0.673,-9.001,174.001,0.614,0.399,254913
Just Send Me to Voicemail,Andrew Norelli,Comedy,15,0.505,0.848,-13.433,131.754,0.544,0.821,225113
Black Snow,The Lawrence Arms,Ska,21,0.271,0.971,-5.128,142.252,0.3,2.87e-05,146067
Jupiter 4,Sharon Van Etten,Folk,60,0.475,0.498,-10.623,88.892,0.0565,0.0165,314080
Joshua Tree,Cautious Clay,R&B,52,0.526,0.589,-6.399,146.952,0.345,0.00335,197551
Appalachian Spring: VIII. Coda. Moderato,Aaron Copland,Classical,32,0.0623,0.00246,-39.609,70.2,0.0428,0.972,205533
GM-03(時空神像),Capcom Sound Team,Anime,15,0.0624,0.218,-12.529,62.838,0.0298,0.464,177867
Gay Rights,Aziz Ansari,Comedy,38,0.599,0.535,-7.492,87.576,0.439,0.814,178067
No Me Condenes (feat. J Alvarez),Jory Boy,Reggaeton,35,0.584,0.808,-4.439,88.94,0.559,0.103,240387
Wasamara (What's the Matter) [feat. Feid],Sie7e,Reggae,34,0.86,0.817,-3.795,96.009,0.723,0.0901,222611
Battle Symphony,Linkin Park,Alternative,62,0.653,0.839,-5.077,149.034,0.669,0.0369,216281
"Concerning the UFO sighting near Highland, Illinois",Sufjan Stevens,Indie,51,0.452,0.149,-14.99,131.071,0.389,0.987,128987
Hennyting,Vedo,R&B,48,0.808,0.562,-7.377,98.005,0.447,0.125,163789
Oh My Dear Lord,The Unlikely Candidates,Children’s Music,58,0.557,0.798,-4.506,72.044,0.673,0.0382,192500
The Way You Look Tonight (with Teddy Wilson & His Orchestra) - Take 2,Billie Holiday,Jazz,47,0.583,0.235,-11.151,162.321,0.855,0.933,180067
The Struggle,Grizfolk,Indie,49,0.553,0.843,-4.664,112.968,0.67,0.000168,213360
Those I've Loved,Eric Church,Country,49,0.498,0.507,-5.743,76.102,0.289,0.203,303733
No Shame (Future feat. PARTYNEXTDOOR),Future,Hip-Hop,52,0.362,0.755,-7.187,173.719,0.236,0.162,234419
Brother's Keeper,Young the Giant,Children’s Music,51,0.705,0.816,-3.617,120.019,0.615,0.00269,250493
Magic Disc,ASIAN KUNG-FU GENERATION,Anime,24,0.399,0.958,-3.659,91.482,0.403,0.000297,276867
Glory to Glory (Live),William Matthews,World,55,0.391,0.567,-7.709,163.963,0.104,0.000446,324175
Livin' The Dream,Drake White,Rock,55,0.603,0.862,-4.461,98.075,0.396,0.0153,187827
Contradance,Dan Zanes,Children's Music,7,0.538,0.426,-8.858,93.988,0.94,0.367,168653
Life,UVERworld,Anime,25,0.575,0.951,-5.076,104.955,0.381,0.000735,289387
ディデュディディ,LAST ALLIANCE,Anime,27,0.481,0.935,-4.262,93.964,0.549,2.94e-05,230693
Todayo,Teenage Bottlerocket,Ska,24,0.486,0.989,-3.622,94.983,0.42,0.000184,209613
Misty Mountain Hop - Alternate Mix,Led Zeppelin,Rock,52,0.488,0.892,-7.131,132.554,0.675,0.0763,285053
Nuclear (Album Version),Zomboy,Electronic,52,0.478,0.976,-1.252,174.006,0.336,0.00608,379310
Tsuigeki! Natsu to Gray,Yasuharu Takanashi,Anime,12,0.387,0.931,-10.685,160.022,0.404,7.65e-06,92027
Esta Tarde Vi Llover,Maldita Vecindad Y Los Hijos Del 5to. Patio,Ska,33,0.402,0.951,-8.288,142.029,0.347,0.0102,189893
A Shower of Sparks,Ott,World,30,0.467,0.817,-9.17,114.939,0.254,0.0703,539840
Black Beauty,Lana Del Rey,Dance,59,0.32,0.529,-7.595,119.898,0.103,0.27,314533
In My Blood,The Veronicas,Dance,60,0.538,0.809,-6.017,120.001,0.278,0.00136,200480
Coal Miner's Daughter - Single Version,Loretta Lynn,Country,52,0.606,0.364,-13.862,137.601,0.602,0.848,180960
大尋問 〜モデラート,Capcom Sound Team,Anime,12,0.858,0.275,-15.781,117.915,0.886,0.54,121720
The Time Is Now,Atreyu,Rock,68,0.481,0.944,-3.665,165.02,0.396,0.00926,199959
I Will Fear No More,The Afters,Alternative,40,0.495,0.591,-5.599,82.009,0.266,0.222,202480
Come Over Here,Jacob Latimore,R&B,56,0.447,0.752,-4.394,139.259,0.218,0.429,180429
Carmen: Act I: Seguidilla: 'Pres des reparts de Seville',Georges Bizet,Opera,16,0.383,0.17,-15.027,175.595,0.231,0.989,256933
"La Favorita / Act 4: ""Spirto gentil""",Gaetano Donizetti,Opera,2,0.231,0.199,-18.307,89.285,0.0765,0.973,327173
Hotel Yorba,The White Stripes,Blues,50,0.385,0.791,-2.647,194.638,0.764,0.454,130333
Don't Think They Know,Chris Brown,Dance,55,0.39,0.615,-6.483,87.952,0.566,0.0232,237973
Ice Cream Man / Shoe Throwin' Mothers - Live,Eddie Murphy,Comedy,23,0.329,0.865,-11.777,75.216,0.153,0.835,350013
Wonder,Hillsong UNITED,Children’s Music,61,0.395,0.66,-8.293,88.492,0.18,0.00108,294560
The Wonderful Cross,Maranatha! Praise Band,World,28,0.294,0.482,-10.191,176.943,0.195,0.336,360493
Just What I Needed,The Cars,Folk,68,0.619,0.579,-9.307,127.224,0.69,0.0152,225627
Raise Hell,Dorothy,Children’s Music,64,0.547,0.693,-6.404,79.963,0.716,0.0224,181868
King Tut,The Hit Crew Kids,Children's Music,0,0.677,0.619,-8.342,124.892,0.961,0.297,132067
Last Rites To Sleepless Nights,Less Than Jake,Ska,18,0.188,0.94,-2.974,200.854,0.809,0.0481,138653
Post To Be (feat. Chris Brown & Jhene Aiko),Omarion,Hip-Hop,64,0.733,0.676,-5.655,97.448,0.701,0.0697,226581
We Threw Gasoline On The Fire And Now We Have Stumps For Arms And No Eyebrows,NOFX,Ska,21,0.405,0.977,-5.405,99.799,0.534,0.000563,165000
Dile Que Tu Me Quieres,Ozuna,Reggaeton,75,0.773,0.757,-4.959,88.006,0.858,0.0864,226520
Verdi : La traviata : Prelude to Act 1 [Excerpt],Giuseppe Verdi,Opera,10,0.291,0.0177,-31.71,113.244,0.0588,0.863,158626
FML,Godsmack,Alternative,42,0.496,0.955,-4.321,134.695,0.148,0.000297,218547
Model Trains,Gabriel Kahane,Classical,26,0.534,0.057,-15.512,119.328,0.33,0.981,218840
5 Years Time,Noah And The Whale,Folk,56,0.8,0.559,-7.11,121.967,0.788,0.335,214920
Solsidan - Original Mix,HNNY,Electronic,41,0.759,0.538,-12.646,117.002,0.619,0.00514,305365
The Shift,Mez,Soul,46,0.546,0.636,-8.354,138.275,0.339,0.375,271095
Shakin',Eddie Money,Rock,50,0.635,0.893,-5.251,113.454,0.946,0.0285,188200
Dead-Bird,McCafferty,Alternative,47,0.539,0.928,-5.914,142.044,0.706,0.272,180507
From Time,Drake,Rap,70,0.738,0.491,-9.726,94.378,0.448,0.626,322160
Amigos Con Beneficios - Remix,Juan Miguel,Reggaeton,39,0.553,0.916,-3.963,195.955,0.924,0.299,234560
The Devil Is Alive and Well,Brad Paisley,Country,40,0.531,0.438,-7.955,70.996,0.231,0.557,239730
Espana Kara no Shisha,Joe Hisaishi,Anime,17,0.186,0.165,-18.634,138.59,0.0675,0.958,90027
Reggae Merengue,Tommy McCook,Reggae,44,0.749,0.589,-7.605,89.323,0.914,0.91,133240
Elephants,Them Crooked Vultures,Children’s Music,47,0.217,0.879,-4.559,179.516,0.517,7.42e-05,409773
Rock the House,Gorillaz,Children’s Music,49,0.754,0.825,-6.498,171.948,0.612,0.0748,249200
Sideways,KB,Hip-Hop,46,0.582,0.911,-5.326,120.014,0.794,0.0357,254449
Wooden Underpants,Eddie Izzard,Comedy,17,0.431,0.871,-17.835,100.075,0.0549,0.809,271655
Miss Tail,THE ORAL CIGARETTES,Anime,25,0.39,0.974,-3.061,180.047,0.332,0.00019,199919
Couleur,Chantal Goya,Movie,10,0.458,0.269,-9.985,95.348,0.198,0.97,208640
Seeing Red,Steve Hofstetter,Comedy,17,0.44,0.523,-19.562,76.456,0.304,0.857,169485
Fiz Esse Som Pra Você,Gabriel Elias,Reggae,65,0.667,0.845,-8.755,120.002,0.966,0.00967,203008
Bonk Heads,Josh Blue,Comedy,15,0.415,0.81,-11.742,158.117,0.243,0.892,86570
Crawl,Breaking Benjamin,Rap,58,0.213,0.91,-3.346,81.199,0.389,1.17e-05,238907
Nothing Else,Cody Carnes,World,59,0.381,0.161,-12.915,135.813,0.356,0.84,393187
Material Girl,Madonna,Rock,72,0.742,0.883,-3.419,136.506,0.978,0.333,240280
"10,000 Weight in Gold",The Head and the Heart,Indie,52,0.484,0.491,-9.294,82.425,0.3,0.435,252307
Going Out,Joe Hisaishi,Soundtrack,34,0.513,0.235,-18.82,84.087,0.376,0.972,77600
Say Goodbye,Chris Brown,Dance,61,0.805,0.494,-6.027,115.049,0.408,0.00164,289760
"Cavalleria Rusticana: Act I, Prelude (Orchestra)",Franco Corelli,Opera,10,0.19,0.326,-13.567,105.985,0.12,0.895,134800
No Riders,Shannon Curfman,Blues,30,0.642,0.814,-5.641,107.062,0.824,0.108,209867
Courage and Kindness,Patrick Doyle,Soundtrack,45,0.125,0.0477,-19.91,81.361,0.0387,0.916,278827
5 Second Rule,Mike Baldwin,Comedy,17,0.49,0.826,-12.394,69.005,0.263,0.743,166486
Ghalin Lotangan,Chorus,Movie,0,0.673,0.849,-9.901,92.583,0.438,0.583,71085
"Intro ""Persiguiendo un Sueño""",Papi Wilo,Reggaeton,28,0.573,0.809,-2.827,88.827,0.34,0.203,231970
Hair Body Face,Lady Gaga,Dance,70,0.863,0.457,-6.422,115.009,0.401,0.0103,202640
Un jour se lève,Daniel Levi,Movie,13,0.365,0.405,-10.871,119.537,0.261,0.721,288773
Aunque Te Fuiste - Live,Don Omar,Reggaeton,20,0.461,0.626,-8.861,166.662,0.267,0.23,355960
Lakmé / Act 1: Sous le dôme épais (Flower Duet),Léo Delibes,Opera,34,0.268,0.0896,-23.621,128.658,0.0384,0.983,325120
Want It With You,Sinead Harnett,Children’s Music,56,0.747,0.472,-8.955,120.019,0.48,0.677,196062
Mystery,Wipers,Blues,34,0.486,0.93,-3.842,81.058,0.844,6.75e-05,107907
Como Si Fuera la Tragedia del Sol,Oscar D'León,Jazz,0,0.393,0.115,-17.33,73.746,0.45,0.974,152340
Mirala,Ñejo & Dalmata,Reggaeton,42,0.757,0.805,-9.409,97.971,0.686,0.232,210107
Stand Still,Sabrina Claudio,Indie,63,0.476,0.44,-8.198,149.389,0.161,0.732,283236
New Level,A$AP Ferg,Rap,64,0.526,0.655,-4.208,121.127,0.156,0.0566,267212
Make Some Noise,Beastie Boys,Alternative,51,0.712,0.887,-5.049,98.036,0.63,0.0192,210360
Oh Comely,Neutral Milk Hotel,Alternative,48,0.366,0.357,-6.227,118.901,0.117,0.744,498147
Loco (Tu Forma de Ser) [Ft. Rubén Albarrán] - MTV Unplugged,Los Auténticos Decadentes,Ska,68,0.587,0.639,-8.065,116.499,0.789,0.395,249307
Far from Home,Five Finger Death Punch,Alternative,42,0.464,0.688,-5.352,137.882,0.228,0.00149,212493
Treat Me Like Fire,LION BABE,Soul,59,0.667,0.658,-7.71,91.98,0.358,0.138,250707
(i can) say nothing,Kensuke Ushio,Soundtrack,35,0.638,0.759,-11.105,120.008,0.507,0.0829,142547
Tongues,Joywave,Rock,59,0.827,0.682,-7.111,117.967,0.933,0.00048,234773
Teddy Picker,Arctic Monkeys,Rock,54,0.637,0.973,-3.386,150.223,0.8,0.000413,160640
New Level,A$AP Ferg,Pop,64,0.526,0.655,-4.208,121.127,0.156,0.0566,267212
Ice Cream Love,Johnny Osbourne,Reggae,50,0.74,0.687,-6.608,73.083,0.782,0.21,203400
Mt Saint Michel + Saint Michaels Mount,Aphex Twin,World,35,0.684,0.943,-9.185,100.087,0.183,0.003,490413
Peach (Lobotomy),Waterparks,Children’s Music,46,0.492,0.883,-3.594,174.973,0.456,0.0071,213174
At the Beach,The Avett Brothers,Children’s Music,49,0.563,0.756,-7.916,105.121,0.624,0.37,249173
Dark Shadow (feat. TeddyLoid),FLOW,Anime,26,0.402,0.902,-5.232,186.106,0.788,0.0003,220360
